Canal,Tempo médio de atendimento,Tempo médio de espera,Total de atendimentos,Total de atendimentos concluídos,Média CSAT
Achados e Perdidos,85:27:42,46:24:44,17,13,5
Agendamento de Aniversário,83:33:59,13:18:29,15,15,5
Cantina Perita,77:48:27,31:59:59,36,31,5
Coord. de Relacionamento 4º e 5º Ano,33:38:39,08:04:24,67,64,4.88
Coord. de Relacionamento 6º e 7º Ano,54:32:42,17:29:26,117,116,4.74
Coord. de Relacionamento 8º e 9º Ano,11:57:33,03:27:23,71,69,4.87
Coord. de Relacionamento Infantil,54:56:00,21:55:25,20,19,5
Coord. de Relacionamento Médio,57:17:37,29:58:22,91,83,4.56
"Coordenação de Relacionamento 1º, 2º e 3º Ano",134:59:49,61:44:42,74,63,4.73
Coord. Esportes e Educação Física,129:22:10,40:56:35,154,108,4.46
Coord. Formação Bilíngue,44:22:41,14:28:51,3,3,4
Coord. PLA,74:24:11,28:59:14,42,32,4.21
Enfermaria,31:54:57,00:13:58,151,151,4.94
Financeiro,124:21:04,74:49:38,64,54,3
Grupo 02 A,21:39:11,10:27:26,2,2,5
Grupo 03 A,105:24:53,45:12:07,4,4,
Grupo 04 A,39:50:43,15:18:53,3,3,
Grupo 04 D,18:52:35,18:13:58,1,1,
Grupo 05 A,89:48:04,18:50:59,1,1,
Grupo 05 D,24:06:56,01:48:36,1,1,
Loja de Farda,378:56:18,59:49:39,13,6,4.5
NAE Fundamental A.F.,50:58:34,23:46:49,35,35,4.2
NAE Fundamental A.I.,56:53:08,20:13:57,18,16,4.9
NAE Infantil,45:51:47,33:28:26,12,11,5
NAE Médio,151:36:35,55:10:54,29,23,4.2
Ouvidoria,106:27:17,51:20:12,46,41,4.14
Secretaria,82:55:25,21:42:48,44,37,4
Supervisão Disciplinar Fund. 2,09:55:13,09:45:14,33,33,4.75
Supervisão Disciplinar Infantil e Fundamental A.I.,07:38:08,07:33:43,2,2,4
Supervisão Disciplinar Médio,25:52:24,25:25:13,32,32,4.55
TI - Tecnologia da Informação,172:33:39,61:34:09,59,41,4
Turno Integral Anos Iniciais,,,1,0,
Turno Integral Infantil,04:11:58,04:10:20,4,2,
