Canal,Tempo médio de atendimento,Tempo médio de espera,Total de atendimentos,Total de atendimentos concluídos,Média CSAT
Achados e Perdidos,23:53:55,04:24:14,3,2,5
Agendamento de Aniversário,70:54:33,08:32:43,2,2,
Cantina Perita,105:10:06,105:03:23,7,3,
Coord. de Relacionamento 4º e 5º Ano,43:01:34,06:58:36,36,35,4.69
Coord. de Relacionamento 6º e 7º Ano,30:46:31,08:12:53,119,116,4.25
Coord. de Relacionamento 8º e 9º Ano,27:27:44,07:11:47,68,65,4.83
Coord. de Relacionamento Infantil,51:48:59,32:24:23,18,16,4.5
Coord. de Relacionamento Médio,167:17:37,25:05:28,38,30,5
"Coordenação de Relacionamento 1º, 2º e 3º Ano",125:02:37,05:49:55,35,32,4.5
Coord. Esportes e Educação Física,107:54:18,61:08:29,92,37,5
Coord. Formação Bilíngue,44:32:44,03:18:15,1,1,
Coord. PLA,49:14:35,25:20:29,21,21,5
Enfermaria,34:23:39,01:10:57,157,156,4.64
Financeiro,58:32:54,31:17:55,25,25,4.5
NAE Fundamental A.F.,40:27:07,18:24:39,25,25,4
NAE Fundamental A.I.,87:48:48,59:55:57,18,18,5
NAE Infantil,42:45:53,09:58:09,5,5,5
NAE Médio,183:17:17,32:25:26,19,7,4
Ouvidoria,74:14:34,18:21:50,24,23,4.17
Secretaria,72:47:39,19:52:02,19,16,
Supervisão Disciplinar Fund. 2,20:32:25,20:28:14,19,19,5
Supervisão Disciplinar Infantil e Fundamental A.I.,43:11:35,22:11:09,6,6,4
Supervisão Disciplinar Médio,43:00:15,10:54:32,42,37,4
TI - Tecnologia da Informação,198:12:33,34:04:58,12,4,
Turno Integral Anos Iniciais,37:29:52,29:40:44,4,4,5
Turno Integral Infantil,19:50:34,19:50:17,1,1,
