Canal,Tempo médio de atendimento,Tempo médio de espera,Total de atendimentos,Total de atendimentos concluídos,Média CSAT,_handle_seconds,_wait_seconds
Agendamento de Aniversário,149:02:00,24:06:07,4,2,,536520,86767
Cantina Perita,114:25:09,55:46:30,12,12,5.0,411909,200790
Coord. de Relacionamento 4º e 5º Ano,28:51:20,09:38:10,194,194,4.172839506172839,103880,34690
Coord. de Relacionamento 6º e 7º Ano,28:33:39,06:13:33,180,180,4.301587301587301,102819,22413
Coord. de Relacionamento 8º e 9º Ano,22:56:42,11:56:16,91,91,4.4523809523809526,82602,42976
Coord. de Relacionamento Infantil,34:49:58,15:31:19,54,54,4.2272727272727275,125398,55879
Coord. de Relacionamento Médio,83:27:06,30:21:03,93,93,4.107142857142857,300426,109263
"Coordenação de Relacionamento 1º, 2º e 3º Ano",40:43:33,18:52:42,207,207,4.169014084507042,146613,67962
Coord. Esportes e Educação Física,123:43:28,26:08:39,97,93,4.346153846153846,445408,94119
Coord. Formação Bilíngue,112:48:52,16:20:53,5,5,4.6,406132,58853
Coord. PLA,49:35:55,13:45:52,52,52,4.0,178555,49552
Enfermaria,27:11:53,00:57:59,260,260,4.390243902439025,97913,3479
Eventos,162:36:15,50:07:13,33,33,3.6666666666666665,585375,180433
Financeiro,148:46:50,87:47:39,166,165,3.864864864864865,535610,316059
Loja de Farda,237:48:38,72:33:17,6,1,4.0,856118,261197
NAE Fundamental A.F.,79:36:44,12:29:19,71,71,3.6666666666666665,286604,44959
NAE Fundamental A.I.,119:55:48,49:18:04,37,37,4.260869565217392,431748,177484
NAE Infantil,319:13:12,14:46:37,5,5,,1149192,53197
NAE Médio,102:24:23,21:17:06,25,25,3.142857142857143,368663,76626
Ouvidoria,268:16:56,119:18:42,44,42,4.0,965816,429522
Professora Ana Luiza,62:48:57,28:10:48,7,7,,226137,101448
Professora Andrea,45:42:47,39:16:59,32,32,4.411764705882353,164567,141419
Professora Jaciclene,00:20:09,00:18:24,1,1,,1209,1104
Professora Joelia,33:08:29,18:37:21,15,15,3.6666666666666665,119309,67041
Professora Sanara,140:15:39,19:12:13,13,13,,504939,69133
Professora Thailane,85:41:54,49:51:45,27,27,3.8333333333333335,308514,179505
Professora Viviane,77:52:22,70:30:22,7,7,5.0,280342,253822
Secretaria,32:30:40,12:53:13,63,63,4.0625,117040,46393
Supervisão Disciplinar Fund. 2,20:14:04,19:11:38,49,49,3.9375,72844,69098
Supervisão Disciplinar Infantil e Fundamental A.I.,39:10:00,37:19:33,2,2,5.0,141000,134373
Supervisão Disciplinar Médio,16:56:05,16:21:47,74,74,4.333333333333333,60965,58907
TI - Tecnologia da Informação,237:15:33,57:02:53,24,24,4.375,854133,205373
