Canal,Tempo médio de atendimento,Tempo médio de espera,Total de atendimentos,Total de atendimentos concluídos,Média CSAT
Agendamento de Aniversário,,,1,0,
Cantina Perita,176:41:08,176:41:04,3,2,
Coord. de Relacionamento 4º e 5º Ano,53:43:25,13:44:20,22,22,4.8
Coord. de Relacionamento 6º e 7º Ano,32:19:11,11:29:54,42,42,3.67
Coord. de Relacionamento 8º e 9º Ano,19:26:57,09:11:24,19,19,
Coord. de Relacionamento Infantil,27:05:47,00:03:00,4,1,
Coord. de Relacionamento Médio,30:39:57,23:48:05,25,22,4
"Coordenação de Relacionamento 1º, 2º e 3º Ano",72:02:08,18:52:37,31,22,5
Coord. Esportes e Educação Física,50:33:50,11:16:25,35,30,4.5
Coord. Formação Bilíngue,72:11:58,57:20:00,5,5,5
Coord. PLA,141:07:27,98:11:36,4,4,
Enfermaria,27:46:46,01:19:50,18,16,
Financeiro,136:17:03,74:03:57,65,34,5
Loja de Farda,23:28:30,23:27:55,4,2,
NAE Fundamental A.F.,27:18:20,09:19:26,18,16,5
NAE Fundamental A.I.,81:55:32,19:01:17,19,17,3
NAE Infantil,113:44:30,87:38:53,3,3,5
NAE Médio,57:14:14,09:59:02,11,11,5
Ouvidoria,70:18:03,27:09:30,7,6,5
Professora Joelia,45:56:39,00:01:34,2,1,
Professora Viviane,,,1,0,
Secretaria,66:11:51,14:34:23,46,43,5
Supervisão Disciplinar Fund. 2,62:28:03,62:28:02,19,1,
Supervisão Disciplinar Infantil e Fundamental A.I.,01:02:12,00:58:15,2,1,
Supervisão Disciplinar Médio,,,1,0,
TI - Tecnologia da Informação,269:26:34,191:15:15,5,3,
