Canal,Tempo médio de atendimento,Tempo médio de espera,Total de atendimentos,Total de atendimentos concluídos,Média CSAT
Achados e Perdidos,127:37:26,38:32:55,4,3,
Agendamento de Aniversário,60:23:49,26:05:37,13,13,5
Cantina Perita,274:35:26,67:25:12,5,4,
Coord. de Relacionamento 4º e 5º Ano,65:52:56,21:05:29,73,71,4.68
Coord. de Relacionamento 6º e 7º Ano,74:31:35,11:17:28,132,116,4.95
Coord. de Relacionamento 8º e 9º Ano,41:08:35,12:48:19,108,108,4.85
Coord. de Relacionamento Infantil,81:04:58,40:40:14,27,25,5
Coord. de Relacionamento Médio,44:49:32,21:09:57,96,84,4.5
"Coordenação de Relacionamento 1º, 2º e 3º Ano",62:56:39,17:40:34,116,111,4.47
Coord. Esportes e Educação Física,198:37:56,37:01:12,55,37,3.5
Coord. Formação Bilíngue,120:20:48,07:09:21,3,2,
Coord. PLA,40:44:00,10:20:36,13,13,4.5
Enfermaria,32:51:10,00:59:10,268,268,4.62
Financeiro,151:31:31,106:15:28,68,61,2
Loja de Farda,247:01:19,73:31:33,11,11,
NAE Fundamental A.F.,64:01:52,13:48:05,35,35,4.5
NAE Fundamental A.I.,43:50:40,19:01:50,41,37,4.55
NAE Infantil,26:57:41,17:53:00,3,3,
NAE Médio,77:32:09,19:26:16,24,23,4.67
Ouvidoria,95:30:11,36:49:32,39,33,4.71
Secretaria,50:17:20,19:21:33,31,27,5
Supervisão Disciplinar Fund. 2,12:59:49,12:59:12,47,47,5
Supervisão Disciplinar Infantil e Fundamental A.I.,,,7,0,
Supervisão Disciplinar Médio,40:44:13,38:35:04,66,57,4.73
TI - Tecnologia da Informação,188:31:39,48:56:51,33,20,3
Turno Integral Anos Iniciais,26:06:45,15:54:33,15,15,5
Turno Integral Infantil,100:15:55,15:13:33,4,4,
