Canal,Tempo médio de atendimento,Tempo médio de espera,Total de atendimentos,Total de atendimentos concluídos,Média CSAT
Achados e Perdidos,54:05:16,26:56:49,3,1,
Agendamento de Aniversário,143:16:25,46:10:01,5,3,
Cantina Perita,67:06:04,46:53:15,8,4,
Coord. de Relacionamento 4º e 5º Ano,41:10:17,08:12:37,109,107,4.58
Coord. de Relacionamento 6º e 7º Ano,49:01:00,10:05:52,176,166,4.56
Coord. de Relacionamento 8º e 9º Ano,43:41:56,08:28:09,125,123,4.77
Coord. de Relacionamento Infantil,54:19:45,22:27:31,41,38,4.38
Coord. de Relacionamento Médio,157:06:53,46:00:11,99,90,5
"Coordenação de Relacionamento 1º, 2º e 3º Ano",114:54:45,55:13:20,91,75,4.35
Coord. Esportes e Educação Física,143:19:25,31:29:54,78,19,4.75
Coord. Formação Bilíngue,133:38:27,37:48:07,6,3,3.5
Coord. PLA,74:34:34,23:05:19,25,24,4.8
Enfermaria,28:32:27,00:49:32,337,336,4.76
Financeiro,25:14:28,15:34:31,80,72,3.9
Loja de Farda,101:18:40,57:40:03,14,8,4
NAE Fundamental A.F.,38:29:47,11:09:01,50,50,4.27
NAE Fundamental A.I.,56:35:41,22:14:48,36,35,4
NAE Infantil,14:03:04,13:15:26,2,2,
NAE Médio,106:03:26,28:54:12,29,19,3.8
Ouvidoria,140:43:35,29:39:16,47,38,4
Secretaria,101:17:42,33:12:02,55,48,3.3
Supervisão Disciplinar Fund. 2,27:15:09,27:05:45,51,51,5
Supervisão Disciplinar Infantil e Fundamental A.I.,127:52:38,110:51:33,20,18,
Supervisão Disciplinar Médio,48:39:57,22:41:49,92,89,4.56
TI - Tecnologia da Informação,186:57:15,31:16:44,32,16,2.33
Turno Integral Anos Iniciais,84:00:50,18:54:21,9,9,5
Turno Integral Infantil,11:53:13,01:39:55,2,2,4
