Canal,Tempo médio de atendimento,Tempo médio de espera,Total de atendimentos,Total de atendimentos concluídos,Média CSAT,_handle_seconds,_wait_seconds
Agendamento de Aniversário,88:04:14,40:14:30,21,21,4.444444444444445,317054,144870
Cantina Perita,271:49:12,269:24:24,27,19,3.375,978552,969864
Coord. de Relacionamento 4º e 5º Ano,13:24:32,11:36:48,142,142,4.294117647058823,48272,41808
Coord. de Relacionamento 6º e 7º Ano,18:25:06,09:21:19,147,147,4.454545454545454,66306,33679
Coord. de Relacionamento 8º e 9º Ano,26:00:33,08:41:43,86,86,3.75,93633,31303
Coord. de Relacionamento Infantil,144:43:48,35:09:24,21,21,3.75,521028,126564
Coord. de Relacionamento Médio,59:10:11,28:32:46,72,71,3.9642857142857144,213011,102766
"Coordenação de Relacionamento 1º, 2º e 3º Ano",19:46:38,11:29:14,129,129,4.492307692307692,71198,41354
Coord. Esportes e Educação Física,77:25:40,22:36:56,164,164,4.163934426229508,278740,81416
Coord. Formação Bilíngue,119:04:45,81:39:29,8,8,5.0,428685,293969
Coord. PLA,22:23:00,10:00:18,39,39,3.25,80580,36018
Enfermaria,25:42:15,01:50:21,298,298,4.529411764705882,92535,6621
Financeiro,67:58:56,64:13:34,146,143,3.34375,244736,231214
Loja de Farda,379:30:11,86:40:46,16,12,2.0,1366211,312046
NAE Fundamental A.F.,35:19:30,09:49:16,65,65,3.9302325581395348,127170,35356
NAE Fundamental A.I.,125:56:40,46:07:00,32,32,3.9285714285714284,453400,166020
NAE Infantil,106:40:10,44:55:19,14,14,4.0,384010,161719
NAE Médio,43:12:45,09:56:58,18,18,4.153846153846154,155565,35818
Ouvidoria,77:01:55,35:03:04,32,32,3.8125,277315,126184
Professora Ana Luiza,20:30:22,20:22:51,15,15,4.181818181818182,73822,73371
Professora Andrea,246:18:09,167:08:06,30,30,4.444444444444445,886689,601686
Professora Jaciclene,283:07:21,283:06:47,1,1,,1019241,1019207
Professora Joelia,698:36:57,698:36:14,12,12,5.0,2515017,2514974
Professora Sanara,50:16:39,00:12:42,23,23,4.571428571428571,180999,762
Professora Thailane,528:12:43,438:52:12,7,7,4.5,1901563,1579932
Professora Viviane,126:10:34,126:08:47,2,2,4.0,454234,454127
Secretaria,13:25:52,12:35:33,33,33,3.9285714285714284,48352,45333
Supervisão Disciplinar Fund. 2,19:37:52,18:12:57,43,43,4.823529411764706,70672,65577
Supervisão Disciplinar Infantil e Fundamental A.I.,42:56:26,42:05:20,16,6,4.285714285714286,154586,151520
Supervisão Disciplinar Médio,20:29:09,20:21:28,29,29,4.25,73749,73288
TI - Tecnologia da Informação,110:53:36,37:42:39,67,66,3.8095238095238093,399216,135759
