Canal,Tempo médio de atendimento,Tempo médio de espera,Total de atendimentos,Total de atendimentos concluídos,Média CSAT,_handle_seconds,_wait_seconds
NAE Infantil,97:56:33,43:39:56,6,6,5.0,352593,157196
Professora Andrea,49:52:52,43:50:09,52,52,4.6875,179572,157809
Professora Viviane,45:26:53,26:47:59,5,5,4.666666666666667,163613,96479
Enfermaria,29:59:55,01:58:03,268,267,4.546875,107995,7083
Professora Ana Luiza,30:28:33,12:03:17,16,16,4.545454545454546,109713,43397
Coord. Formação Bilíngue,262:19:20,142:45:45,4,4,4.5,944360,513945
Coord. de Relacionamento 8º e 9º Ano,17:23:03,08:45:01,121,121,4.486486486486487,62583,31501
Professora Thailane,53:00:52,09:30:26,32,31,4.466666666666667,190852,34226
Coord. de Relacionamento 6º e 7º Ano,17:08:52,08:15:04,179,179,4.424242424242424,61732,29704
Supervisão Disciplinar Fund. 2,19:09:15,19:06:17,38,38,4.416666666666667,68955,68777
Coord. de Relacionamento 4º e 5º Ano,27:25:10,21:36:29,136,135,4.303030303030303,98710,77789
NAE Médio,39:39:34,17:18:24,26,26,4.2727272727272725,142774,62304
"Coordenação de Relacionamento 1º, 2º e 3º Ano",24:04:31,20:58:57,113,113,4.22,86671,75537
Coord. Esportes e Educação Física,125:56:10,21:19:14,154,125,4.162790697674419,453370,76754
Secretaria,08:54:08,08:45:59,39,39,4.15,32048,31559
Coord. PLA,30:25:05,14:36:28,62,62,4.142857142857143,109505,52588
Dia da Família,12:12:18,12:01:18,45,29,4.083333333333333,43938,43278
Coord. de Relacionamento Médio,40:51:52,19:21:35,86,84,4.068965517241379,147112,69695
Agendamento de Aniversário,109:21:30,23:39:15,12,12,4.0,393690,85155
Professora Sanara,41:41:51,04:10:04,21,19,4.0,150111,15004
TI - Tecnologia da Informação,125:53:36,18:40:13,48,38,4.0,453216,67213
Cantina Perita,87:03:57,30:32:01,65,60,3.944444444444444,313437,109921
Supervisão Disciplinar Médio,17:58:33,17:54:22,87,87,3.925925925925926,64713,64462
Coord. de Relacionamento Infantil,88:53:00,53:31:58,23,23,3.9,319980,192718
NAE Fundamental A.I.,183:37:07,50:35:04,40,31,3.857142857142857,661027,182104
Financeiro,53:05:25,46:46:13,111,97,3.6785714285714284,191125,168373
NAE Fundamental A.F.,49:51:45,13:30:15,55,55,3.4705882352941178,179505,48615
Ouvidoria,133:25:55,55:55:57,34,25,3.25,480355,201357
Loja de Farda,,,16,0,,0,0
Professora Joelia,222:30:48,114:51:00,13,2,,801048,413460
Supervisão Disciplinar Infantil e Fundamental A.I.,274:42:28,274:41:19,13,7,,988948,988879
