Canal,Tempo médio de atendimento,Tempo médio de espera,Total de atendimentos,Total de atendimentos concluídos,Média CSAT,_handle_seconds,_wait_seconds
Agendamento de Aniversário,79:44:42,15:36:20,15,15,4.6,287082,56180
Cantina Perita,79:16:43,63:44:15,24,21,4.0,285403,229455
Coord. de Relacionamento 4º e 5º Ano,19:51:50,16:07:18,174,174,4.184782608695652,71510,58038
Coord. de Relacionamento 6º e 7º Ano,19:27:48,06:57:48,201,193,4.042253521126761,70068,25068
Coord. de Relacionamento 8º e 9º Ano,20:35:02,05:56:11,113,112,4.5,74102,21371
Coord. de Relacionamento Infantil,29:26:58,13:23:13,26,24,4.166666666666667,106018,48193
Coord. de Relacionamento Médio,72:23:28,39:54:20,89,69,3.944444444444444,260608,143660
"Coordenação de Relacionamento 1º, 2º e 3º Ano",32:11:11,18:28:48,188,179,4.338235294117647,115871,66528
Coord. Esportes e Educação Física,80:03:15,44:36:32,191,173,3.8780487804878048,288195,160592
Coord. Formação Bilíngue,197:16:06,100:12:39,9,5,3.0,710166,360759
Coord. PLA,36:40:30,25:42:58,67,62,2.8636363636363638,132030,92578
Enfermaria,27:22:40,03:04:45,244,244,4.483870967741936,98560,11085
Financeiro,33:23:43,31:10:06,123,119,3.5714285714285716,120223,112206
Loja de Farda,239:36:50,19:12:39,15,3,4.5,862610,69159
NAE Fundamental A.F.,29:16:28,07:29:03,68,64,4.222222222222222,105388,26943
NAE Fundamental A.I.,161:08:13,132:27:27,51,43,3.5384615384615383,580093,476847
NAE Infantil,127:24:04,81:23:08,6,5,,458644,292988
NAE Médio,52:30:26,13:11:13,35,31,3.4,189026,47473
Ouvidoria,101:56:52,59:43:06,41,34,3.125,367012,214986
Professora Ana Luiza,41:50:57,16:56:29,12,12,4.0,150657,60989
Professora Andrea,31:58:18,27:03:26,55,50,4.470588235294118,115098,97406
Professora Jaciclene,312:16:52,312:16:49,1,1,,1124212,1124209
Professora Joelia,103:26:47,63:30:24,9,9,3.0,372407,228624
Professora Sanara,75:43:41,03:58:59,37,33,4.0,272621,14339
Professora Thailane,55:48:06,21:07:57,9,9,4.25,200886,76077
Professora Viviane,32:59:27,26:02:50,6,6,5.0,118767,93770
Secretaria,12:40:51,12:11:58,46,46,4.045454545454546,45651,43918
Supervisão Disciplinar Fund. 2,12:50:02,12:49:17,57,57,4.038461538461538,46202,46157
Supervisão Disciplinar Infantil e Fundamental A.I.,56:45:55,45:39:00,10,10,4.5,204355,164340
Supervisão Disciplinar Médio,34:05:01,32:45:35,96,90,4.037037037037037,122701,117935
TI - Tecnologia da Informação,127:34:57,28:31:03,31,24,3.2857142857142856,459297,102663
