Canal,Tempo médio de atendimento,Tempo médio de espera,Total de atendimentos,Total de atendimentos concluídos,Média CSAT
Agendamento de Aniversário,108:40:30,17:40:09,6,4,5
Cantina Perita,88:20:51,43:32:07,5,5,
Coord. de Relacionamento 4º e 5º Ano,39:59:25,11:03:20,98,98,4.81
Coord. de Relacionamento 6º e 7º Ano,23:36:34,08:23:07,170,170,4.36
Coord. de Relacionamento 8º e 9º Ano,23:12:38,05:34:55,96,96,4.78
Coord. de Relacionamento Infantil,88:59:22,23:28:15,27,26,5
Coord. de Relacionamento Médio,50:59:55,41:55:12,112,104,4.08
"Coordenação de Relacionamento 1º, 2º e 3º Ano",54:37:34,10:44:25,92,92,4.73
Coord. Esportes e Educação Física,99:05:26,26:59:46,125,116,4.46
Coord. Formação Bilíngue,138:35:16,90:42:16,10,10,3
Coord. PLA,84:04:22,27:29:37,47,44,4.14
Enfermaria,33:20:18,01:10:22,147,147,4.57
Eventos,,,2,0,
Financeiro,83:29:00,32:32:47,51,45,2
Loja de Farda,189:02:38,188:58:57,8,7,
NAE Fundamental A.F.,56:12:53,24:35:57,54,54,3.86
NAE Fundamental A.I.,51:24:54,12:27:42,15,15,4.67
NAE Infantil,78:34:34,08:46:14,4,4,5
NAE Médio,78:53:34,29:53:19,29,29,4.8
Ouvidoria,123:59:53,67:50:38,13,12,
Professora Ana Luiza,60:36:54,25:45:57,2,2,4
Professora Andrea,51:36:30,42:20:54,19,19,4.6
Professora Joelia,213:14:11,126:43:21,3,3,
Professora Sanara,370:48:39,00:00:05,3,3,
Professora Thailane,39:43:27,23:45:41,18,18,5
Professora Viviane,66:06:43,66:03:34,3,3,
Secretaria,77:14:41,16:45:36,40,38,
Supervisão Disciplinar Fund. 2,98:30:56,98:30:43,40,40,5
Supervisão Disciplinar Infantil e Fundamental A.I.,23:27:47,14:42:48,2,1,
Supervisão Disciplinar Médio,29:25:40,29:24:19,48,48,4.83
TI - Tecnologia da Informação,107:30:59,18:24:08,8,4,
