Canal,Tempo médio de atendimento,Tempo médio de espera,Total de atendimentos,Total de atendimentos concluídos,Média CSAT
Achados e Perdidos,286:18:43,283:24:53,1,1,
Agendamento de Aniversário,82:39:07,25:19:54,15,15,5
Cantina Perita,219:04:35,172:45:40,9,9,4.5
Coord. de Relacionamento 4º e 5º Ano,102:27:29,54:28:31,26,24,4.75
Coord. de Relacionamento 6º e 7º Ano,66:41:17,46:21:56,51,51,4.43
Coord. de Relacionamento 8º e 9º Ano,35:11:53,12:14:11,32,31,4.75
Coord. de Relacionamento Infantil,404:10:29,288:57:53,2,1,
Coord. de Relacionamento Médio,133:18:06,66:05:38,37,37,3.64
"Coordenação de Relacionamento 1º, 2º e 3º Ano",94:18:35,37:18:04,32,31,4.11
Coord. Esportes e Educação Física,193:02:14,19:09:40,42,40,3.88
Coord. Formação Bilíngue,404:54:28,114:03:08,4,4,
Coord. PLA,132:25:02,63:29:10,35,34,5
Enfermaria,51:12:28,09:40:44,26,26,4.5
Financeiro,202:47:13,154:53:55,89,83,3
Loja de Farda,248:00:24,123:29:12,24,22,4.33
NAE Fundamental A.F.,103:56:37,83:37:03,11,11,4.25
NAE Fundamental A.I.,80:25:25,37:31:53,16,16,4.33
NAE Infantil,90:38:36,58:35:04,4,4,5
NAE Médio,101:57:55,70:51:03,10,10,5
Ouvidoria,110:32:16,50:05:49,32,31,4.55
Secretaria,98:20:37,23:14:16,53,49,3.2
Supervisão Disciplinar Fund. 2,09:09:44,09:08:54,6,6,4
Supervisão Disciplinar Infantil e Fundamental A.I.,10:13:29,10:03:33,3,3,4.5
Supervisão Disciplinar Médio,41:30:19,41:25:40,5,5,1
TI - Tecnologia da Informação,147:16:45,53:28:00,30,29,4.4
