Canal,Tempo médio de atendimento,Tempo médio de espera,Total de atendimentos,Total de atendimentos concluídos,Média CSAT,_handle_seconds,_wait_seconds
Agendamento de Aniversário,98:54:59,15:10:51,5,5,,356099,54651
Cantina Perita,124:49:48,101:41:30,9,7,,449388,366090
Coord. de Relacionamento 4º e 5º Ano,33:37:56,12:11:39,110,107,4.678571428571429,121076,43899
Coord. de Relacionamento 6º e 7º Ano,27:54:59,07:37:23,160,160,4.137931034482759,100499,27443
Coord. de Relacionamento 8º e 9º Ano,27:25:17,08:40:06,130,130,4.703703703703703,98717,31206
Coord. de Relacionamento Infantil,34:06:57,11:36:24,27,26,4.5,122817,41784
Coord. de Relacionamento Médio,60:21:24,17:15:09,69,67,4.4,217284,62109
"Coordenação de Relacionamento 1º, 2º e 3º Ano",45:41:18,10:31:42,96,87,4.357142857142857,164478,37902
Coord. Esportes e Educação Física,103:50:31,29:58:12,81,63,3.6666666666666665,373831,107892
Coord. Formação Bilíngue,88:37:38,12:27:22,19,18,4.222222222222222,319058,44842
Coord. PLA,73:04:52,19:53:10,32,32,4.555555555555555,263092,71590
Enfermaria,27:32:06,01:22:27,218,217,4.833333333333333,99126,4947
Eventos,139:14:01,97:47:59,4,3,,501241,352079
Financeiro,86:04:08,44:52:12,70,66,3.0,309848,161532
Loja de Farda,200:41:02,200:40:30,4,2,,722462,722430
NAE Fundamental A.F.,53:43:55,13:00:31,58,53,3.9411764705882355,193435,46831
NAE Fundamental A.I.,76:13:18,21:26:09,28,27,4.625,274398,77169
NAE Infantil,92:09:14,25:57:54,6,6,,331754,93474
NAE Médio,105:30:05,19:14:41,21,20,3.0,379805,69281
Ouvidoria,137:16:50,49:21:25,35,33,5.0,494210,177685
Professora Ana Luiza,05:25:27,04:23:51,3,3,5.0,19527,15831
Professora Andrea,57:56:24,50:28:11,31,30,4.6,208584,181691
Professora Joelia,48:54:00,24:51:46,1,1,4.0,176040,89506
Professora Sanara,69:26:04,09:06:52,21,21,,249964,32812
Professora Thailane,110:30:32,87:34:39,25,23,5.0,397832,315279
Professora Viviane,86:17:03,40:53:18,8,8,3.0,310623,147198
Secretaria,25:55:18,06:35:37,46,46,4.7,93318,23737
Supervisão Disciplinar Fund. 2,18:20:09,18:18:13,62,62,4.142857142857143,66009,65893
Supervisão Disciplinar Infantil e Fundamental A.I.,28:31:54,26:44:13,10,8,3.25,102714,96253
Supervisão Disciplinar Médio,13:48:33,11:26:18,84,84,4.416666666666667,49713,41178
TI - Tecnologia da Informação,123:36:17,74:49:53,16,9,4.333333333333333,444977,269393
